3710001	3030005
3710002	3030008
3710003	3030006
3710004	3030159
3710005	3030253
3710006	3040027
3710007	3030019
3710008	3020016
3710009	3040025
3710010	3040025
3710011	3030032
3710012	3030019
3710013	3030032
3710014	3030039
3710016	3040009
3710017	3040013
3710018	3040071
3710019	3040028
3710020	3040023
3710021	3030159
3710022	3040083
3710023	3030007
3710024	3030019
3710025	3040057
3710026	3040050
3710029	3040009
3710030	3040025
3710031	3030107
3710032	3040023
3710033	3040040
3710034	3040013
3710035	3030005
3710036	3030019
3710037	3030007
3710038	3030010
3710039	3030072
3710040	3040050
3710041	3040063
3710042	3040009
3710043	3040003
3710044	3030005
3710045	3030032
3710046	3040257
3710047	3030005
3710048	3040150
3710049	3040107
3710050	3030008
3710051	3030006
3710052	3030007
3710053	3030010
3710054	3040136
3710055	3040136
3710056	3040028
3710057	3040070
3710058	3040009
3710059	3040050
3710060	3040023
3710061	3040028
3710062	3040010
3710063	3040001
3710064	3040060
3710065	3040023
3710066	3030010
3710067	3040009
3710068	3040035
3710069	3040063
3710070	3020050
3710071	3040147
3710072	3040031
3710073	3040032
3710074	3040036
3710075	3040050
3710076	3030155
3710077	3040034
3710078	3030182
3710079	3030032
3710080	3040030
3710081	3040070
3710082	3040147
3710083	3030182
3710084	3030107
3710085	3040070
3710086	3040037
3710087	3040049
3710088	3040153
3710089	3040153
3710090	3040040
3710091	3040033
3710092	3030182
3710093	3040025
3710096	3040150
3710097	3030134
3710098	3040035
3710105	3030182
3710106	3040033
3710107	3040039
3710111	3040083
3710112	3030150
3710115	3040038
3710116	3040023
3710117	3030172
3710121	3040248
3710122	3040036
3710123	3040031
3710124	3040007
3710125	3040196
3710126	3040063
3710127	3030020
3710128	3040029
3710129	3030032
3710130	3040192
3710131	3040046
3710132	3040186
3710133	3040013
3710134	3040155
3710135	3040061
3710136	3040150
3710137	3040001
3710138	3040153
3710139	3030182
3710140	3030241
3710141	3040169
3710142	3040167
3710143	3040252
3710150	3040096
3710151	3040000
3710152	3040164
